CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K. 2013 Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K.",Actinopterygii,Black seabass,Centropristis_striata,nektonic,high,ballistic,FinFish_makes_up_diet_fishbase,444.75,fishbase 30cm common length,Electrophysiology,52
"Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K. 2013 Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K.",Actinopterygii,Atlantic spadefish,Chaetodipterus_faber,demersal,high,sessile_food,Based_of_detrius_and_zoo_bentohs_diet,3379.62,fishbase 50.4cm common length,Electrophysiology,60
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Spotted seatrout,Cynoscion_nebulosus,demersal,high,ballistic,based_diet_of_finfish_fishbase,565.39,fishbase 36cm common length,Electrophysiology,60
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Gray weakfish,Cynoscion_regalis,nektonic,low,ballistic,based_diet_of_finfish_fishbase,1187.5,fishbase 50cm common length,Electrophysiology,43
"Patterson, WF; McDowell, AL; Hughes, A; Bilotta, J 2002 Opponent and nonopponent contributions to the zebrafish electroretinogram using heterochromatic flicker photometry Opponent and nonopponent contributions to the zebrafish electroretinogram using heterochromatic flicker photometry Patterson, WF; McDowell, AL; Hughes, A; Bilotta, J",Actinopterygii,Zebrafish,Danio_rerio,nektonic,high,sessile_food,"Feeds_on_worms_and_small_crustaceans_ Mills, D. and G. Vevers, 1989. The Tetra encyclopedia of freshwater tropical aquarium fishes. Tetra Press, New Jersey. 208 p. ",0.88,mean wiegth from Clark et al 2018 Body Condition Scoring for Adult Zebrafish (Danio rerio),Electrophysiology,32
"Brill, Richard W.; Horodysky, Andrij Z.; Place, Allen R.; Larkin, Mary E. M.; Reimschuessel, Renate 2019 Effects of dietary taurine level on visual function in European sea bass (Dicentrarchus labrax) Effects of dietary taurine level on visual function in European sea bass (Dicentrarchus labrax) Brill, Richard W.; Horodysky, Andrij Z.; Place, Allen R.; Larkin, Mary E. M.; Reimschuessel, Renate",Actinopterygii,European bass,Dicentrarchus_labrax,nektonic,high,ballistic,"Based on descriptions of diet Laffaille, P., Lefeuvre, J.C., Schricke, M.T. et al. Feeding ecology of o-group sea bass,Dicentrarchus labrax, in salt marshes of Mont Saint Michel Bay (France). Estuaries 24, 116Ð125 (2001). https://doi.org/10.2307/1352818",1430,fisebase_50cm common length,Electrophysiology,117
"Crozier, W. J., & Wolf, E. (1940). The flicker response curve for Fundulus. The Journal of General Physiology, 34(6), 677–694.",Actinopterygii,Mummichog,Fundulus_heteroclitus_heteroclitus,demersal,high,sessile_food,"Kneib, R. T., & Stiven, A. E. (1978). Growth, reproduction, and feeding oF Fundulus heteroclitus (L.) on a North Carolina salt marsh. Journal of Experimental Marine Biology and Ecology, 31(2), 121–140. https://doi.org/10.1016/0022-0981(78)90125-9",7.4,"Bugel, S. M., White, L. A., & Cooper, K. R. (2010). Impaired reproductive health of killifish (Fundulus heteroclitus) inhabiting Newark Bay, NJ, a chronically contaminated estuary. Aquatic Toxicology, 96(3), 182–193. https://doi.org/10.1016/j.aquatox.2009.10.016",Behavioural,52
Lythgoe JN (1979) The ecology of vision. Oxford: Claredon Press.,Actinopterygii,Threespined stickleback,Gasterosteus_aculeatus,nektonic,high,ballistic,"Hart, P. J.B., and A. B. Gill. 1992. “Constraints on Prey Size Selection by the Three?spined Stickleback: Energy Requirements and the Capacity and Fullness of the Gut.” Journal of Fish Biology 40(2): 205–18.",1.5,"Pottinger, T. (2002). The three-spined stickleback as an environmental sentinel: effects of stressors on whole-body physiological indices. Journal of Fish Biology, 61(1), 207–229. https://doi.org/10.1006/jfbi.2002.2034",Behavioural,67
"Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob 2013 A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob",Actinopterygii,Weakly electric fish,Gnathonemus_petersii,demersal,low,sessile_food,typicalally_annalids_fishbase,5.85,"size from Nilsson 1996 Brain and Body Oxygen Requirements of Gnathonemus Petersii, a Fish with an Exceptionally Large Brain",Electrophysiology,50
"Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob 2013 A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob",Actinopterygii,Elephantnose fish,Gnathonemus_petersii,demersal,low,sessile_food,typicalally_annalids_fishbase,5.85,"size from Nilsson 1996 Brain and Body Oxygen Requirements of Gnathonemus Petersii, a Fish with an Exceptionally Large Brain",Behavioural,45
